# timestamp(s) x y z q_x q_y q_z q_w
0.3525 24.8775 7.76287 7.68363 -0.0566362 0.0905924 0.993009 -0.0501813
0.355 24.8757 7.78239 7.69408 -0.0570165 0.0904629 0.992981 -0.0505423
0.3575 24.874 7.8019 7.70437 -0.0573964 0.0903326 0.992952 -0.0509035
0.36 24.8722 7.82141 7.71448 -0.0577758 0.0902015 0.992924 -0.0512647
0.3625 24.8704 7.84092 7.72443 -0.0581548 0.0900694 0.992895 -0.051626
0.365 24.8687 7.86043 7.73421 -0.0585333 0.0899366 0.992866 -0.0519874
0.3675 24.8669 7.87993 7.74382 -0.0589113 0.0898029 0.992837 -0.0523489
0.37 24.865 7.89943 7.75326 -0.0592889 0.0896683 0.992807 -0.0527106
0.3725 24.8632 7.91894 7.76254 -0.059666 0.0895329 0.992777 -0.0530723
0.375 24.8614 7.93843 7.77164 -0.0600427 0.0893966 0.992748 -0.0534342
0.3775 24.8595 7.95793 7.78057 -0.0604188 0.0892595 0.992718 -0.0537961
0.38 24.8577 7.97743 7.78933 -0.0607946 0.0891216 0.992687 -0.0541582
0.3825 24.8558 7.99692 7.79792 -0.0611698 0.0889828 0.992657 -0.0545204
0.385 24.8539 8.01642 7.80633 -0.0615445 0.0888431 0.992626 -0.0548827
0.3875 24.852 8.03591 7.81457 -0.0619188 0.0887027 0.992596 -0.0552451
0.39 24.8501 8.05539 7.82264 -0.0622926 0.0885614 0.992565 -0.0556076
0.3925 24.8481 8.07488 7.83054 -0.0626658 0.0884192 0.992533 -0.0559702
0.395 24.8462 8.09437 7.83826 -0.0630386 0.0882762 0.992502 -0.056333
0.3975 24.8443 8.11385 7.8458 -0.0634109 0.0881324 0.99247 -0.0566958
0.4 24.8423 8.13333 7.85317 -0.0637827 0.0879877 0.992439 -0.0570588
0.4025 24.8403 8.15281 7.86036 -0.064154 0.0878422 0.992407 -0.0574219
0.405 24.8383 8.17229 7.86738 -0.0645248 0.0876959 0.992374 -0.0577851
0.4075 24.8363 8.19176 7.87422 -0.0648951 0.0875488 0.992342 -0.0581484
0.41 24.8343 8.21124 7.88088 -0.0652649 0.0874008 0.992309 -0.0585118
0.4125 24.8323 8.23071 7.88737 -0.0656342 0.087252 0.992277 -0.0588754
0.415 24.8303 8.25018 7.89367 -0.0660029 0.0871023 0.992244 -0.0592391
0.4175 24.8282 8.26964 7.8998 -0.0663712 0.0869519 0.992211 -0.0596028
0.42 24.8262 8.28911 7.90575 -0.0667389 0.0868006 0.992177 -0.0599667
0.4225 24.8241 8.30857 7.91152 -0.0671061 0.0866485 0.992144 -0.0603308
0.425 24.822 8.32803 7.91711 -0.0674727 0.0864956 0.99211 -0.0606949
0.4275 24.8199 8.34749 7.92252 -0.0678389 0.0863418 0.992076 -0.0610592
0.43 24.8178 8.36695 7.92775 -0.0682045 0.0861873 0.992042 -0.0614235
0.4325 24.8157 8.3864 7.9328 -0.0685695 0.0860319 0.992008 -0.061788
0.435 24.8135 8.40586 7.93767 -0.068934 0.0858757 0.991973 -0.0621527
