# timestamp(s) x y z q_x q_y q_z q_w
0.3725 24.8614 7.93841 7.7788 -0.0600595 0.0894652 0.992763 -0.0534326
0.375 24.8596 7.95791 7.78781 -0.0604358 0.0893285 0.992733 -0.0537945
0.3775 24.8577 7.97741 7.79666 -0.0608118 0.089191 0.992703 -0.0541566
0.38 24.8558 7.9969 7.80533 -0.0611872 0.0890526 0.992672 -0.0545187
0.3825 24.8539 8.01639 7.81383 -0.0615622 0.0889134 0.992642 -0.054881
0.385 24.852 8.03589 7.82216 -0.0619367 0.0887733 0.992611 -0.0552434
0.3875 24.8501 8.05537 7.83031 -0.0623107 0.0886325 0.99258 -0.0556059
0.39 24.8482 8.07486 7.83829 -0.0626842 0.0884907 0.992549 -0.0559685
0.3925 24.8463 8.09435 7.8461 -0.0630572 0.0883482 0.992518 -0.0563312
0.395 24.8443 8.11383 7.85373 -0.0634298 0.0882048 0.992486 -0.056694
0.3975 24.8424 8.13331 7.86118 -0.0638018 0.0880605 0.992455 -0.057057
0.4 24.8404 8.15279 7.86846 -0.0641733 0.0879154 0.992423 -0.0574201
0.4025 24.8384 8.17227 7.87557 -0.0645444 0.0877695 0.992391 -0.0577832
0.405 24.8364 8.19174 7.88249 -0.0649149 0.0876228 0.992358 -0.0581465
0.4075 24.8344 8.21122 7.88924 -0.0652849 0.0874752 0.992326 -0.0585099
0.41 24.8324 8.23069 7.89581 -0.0656544 0.0873269 0.992293 -0.0588735
0.4125 24.8304 8.25016 7.90221 -0.0660234 0.0871776 0.99226 -0.0592371
0.415 24.8283 8.26963 7.90842 -0.0663919 0.0870276 0.992227 -0.0596009
0.4175 24.8263 8.28909 7.91446 -0.0667598 0.0868767 0.992194 -0.0599648
0.42 24.8242 8.30856 7.92032 -0.0671273 0.086725 0.992161 -0.0603288
0.4225 24.8221 8.32802 7.926 -0.0674942 0.0865725 0.992127 -0.0606929
0.425 24.82 8.34748 7.9315 -0.0678606 0.0864192 0.992093 -0.0610571
0.4275 24.8179 8.36693 7.93682 -0.0682264 0.0862651 0.992059 -0.0614215
0.43 24.8158 8.38639 7.94195 -0.0685917 0.0861101 0.992025 -0.061786
0.4325 24.8137 8.40584 7.94691 -0.0689565 0.0859543 0.991991 -0.0621506
